project;commits
actor-platform;8272
ambari;18457
android;5329
android_packages_apps_Trebuchet;12616
Anki-Android;8562
atmosphere;5748
basex;10596
bazel;7258
bigbluebutton;13420
BroadleafCommerce;9784
buck;7726
camel;25702
cas;6268
cassandra;21710
cgeo;10183
closure-compiler;8293
cloudify;11049
cloudstack;30050
consulo;102495
CoreNLP;11963
dbeaver;5107
deeplearning4j;5645
drools;10395
druid;7452
elasticsearch;24491
eucalyptus;25400
fabric8;13130
FBReaderJ;9012
flink;9565
geoserver;6520
geotools;5476
gradle;38756
grails-core;17315
groovy;13465
groovy-core;12379
gwt;9093
h2o-2;16172
h2o-3;19336
hadoop;14528
hazelcast;21136
hbase;12707
hibernate-orm;7302
hive;9201
i2p.i2p;12102
ignite;18012
infinispan;8728
intellij-community;182574
intellij-plugins;11224
jabref;8981
jetty.project;12420
jitsi;12420
jmeter;12996
jmonkeyengine;5966
jOOQ;5022
kaa;5713
keycloak;7874
killbill;5361
kotlin;33925
kylin;5283
languagetool;19121
legacy-jclouds;8048
libgdx;12562
liferay-plugins;22557
liferay-portal;194607
liquibase;5360
lucene-solr;26116
mage;16566
MinecraftForge;5498
MPS;74937
mule;19887
neo4j;41588
ofbiz;24136
opencms-core;20881
Openfire;7436
openhab;8868
openmrs-core;9734
OpenTripPlanner;8698
optaplanner;5708
orientdb;14118
Osmand;34278
pentaho-kettle;17768
pinpoint;8565
platform_frameworks_base;252532
platform_packages_apps_settings;27124
presto;8597
processing;12171
react-native;7842
restlet-framework-java;8527
soapui;6806
sonarqube;20762
spring-framework;13312
storm;7451
structr;7496
Terasology;6476
usergrid;10647
vaadin;17005
voltdb;23131
wicket;19624
wildfly;20831
WordPress-Android;17320
